name,salary,vacancy_link,sourse
Заместитель генерального директора по производству,от 100 000 руб.,"<a href=""https://krasnodar.hh.ru/vacancy/52406101?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D1%80%D1%83%D0%BA%D0%BE%D0%B2%D0%BE%D0%B4%D0%B8%D1%82%D0%B5%D0%BB%D1%8C"">push_to_vacancy_link</a>",ООО КубРотоПак
Руководитель обособленного структурного подразделения,от 150 000 руб.,"<a href=""https://krasnodar.hh.ru/vacancy/47601826?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D1%80%D1%83%D0%BA%D0%BE%D0%B2%D0%BE%D0%B4%D0%B8%D1%82%D0%B5%D0%BB%D1%8C"">push_to_vacancy_link</a>",ГК ПРАКТИК
Руководитель,от 100 000 руб.,"<a href=""https://krasnodar.hh.ru/vacancy/49289380?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D1%80%D1%83%D0%BA%D0%BE%D0%B2%D0%BE%D0%B4%D0%B8%D1%82%D0%B5%D0%BB%D1%8C"">push_to_vacancy_link</a>",ООО Финанс Бизнес Консалт
Руководитель отдела продаж,80 000 – 600 000 руб.,"<a href=""https://krasnodar.hh.ru/vacancy/52472582?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D1%80%D1%83%D0%BA%D0%BE%D0%B2%D0%BE%D0%B4%D0%B8%D1%82%D0%B5%D0%BB%D1%8C"">push_to_vacancy_link</a>",NOVA GROUP (ИП Омельченко Светлана Викторовна)
Директор филиала,,"<a href=""https://krasnodar.hh.ru/vacancy/52278357?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D1%80%D1%83%D0%BA%D0%BE%D0%B2%D0%BE%D0%B4%D0%B8%D1%82%D0%B5%D0%BB%D1%8C"">push_to_vacancy_link</a>",ООО Рейл-Траст
Управляющий торговой сети,от 80 000 руб.,"<a href=""https://krasnodar.hh.ru/vacancy/52433609?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D1%80%D1%83%D0%BA%D0%BE%D0%B2%D0%BE%D0%B4%D0%B8%D1%82%D0%B5%D0%BB%D1%8C"">push_to_vacancy_link</a>",Хорошие Новости
Операционный директор,от 250 000 руб.,"<a href=""https://krasnodar.hh.ru/vacancy/50981766?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D1%80%D1%83%D0%BA%D0%BE%D0%B2%D0%BE%D0%B4%D0%B8%D1%82%D0%B5%D0%BB%D1%8C"">push_to_vacancy_link</a>","Доломит, производство фасадного сайдинга"
Руководитель отдела по работе с клиентами,от 125 000 руб.,"<a href=""https://krasnodar.hh.ru/vacancy/52527372?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D1%80%D1%83%D0%BA%D0%BE%D0%B2%D0%BE%D0%B4%D0%B8%D1%82%D0%B5%D0%BB%D1%8C"">push_to_vacancy_link</a>",ООО Транспортные Технологии
Руководитель торгового сектора,74 000 – 90 000 руб.,"<a href=""https://krasnodar.hh.ru/vacancy/52481336?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D1%80%D1%83%D0%BA%D0%BE%D0%B2%D0%BE%D0%B4%D0%B8%D1%82%D0%B5%D0%BB%D1%8C"">push_to_vacancy_link</a>",Леруа Мерлен. Гипермаркеты
Руководитель проекта (подарки и подарочная продукция),от 100 000 руб.,"<a href=""https://krasnodar.hh.ru/vacancy/51262008?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D1%80%D1%83%D0%BA%D0%BE%D0%B2%D0%BE%D0%B4%D0%B8%D1%82%D0%B5%D0%BB%D1%8C"">push_to_vacancy_link</a>",ООО КФ SHOKOLAT'E
Руководитель отдела продаж,от 120 000 руб.,"<a href=""https://krasnodar.hh.ru/vacancy/51472971?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D1%80%D1%83%D0%BA%D0%BE%D0%B2%D0%BE%D0%B4%D0%B8%D1%82%D0%B5%D0%BB%D1%8C"">push_to_vacancy_link</a>",ООО Ю-ТРЕНД
Руководитель филиала,80 000 – 200 000 руб.,"<a href=""https://krasnodar.hh.ru/vacancy/52031925?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D1%80%D1%83%D0%BA%D0%BE%D0%B2%D0%BE%D0%B4%D0%B8%D1%82%D0%B5%D0%BB%D1%8C"">push_to_vacancy_link</a>",БИГЦЕНТР
